Date,Close/Last,Volume,Open,High,Low
05/10/2024,395.18,3505595,395.25,395.8989,394.0958
05/09/2024,394.00,4141242,390.11,394.26,390.01
05/08/2024,390.48,2855082,388.34,390.91,388.19
05/07/2024,388.74,2428600,389.17,389.75,388.34
05/06/2024,388.45,2596106,388.32,388.74,386.83
05/03/2024,386.77,4471092,387.14,387.99,385.06
05/02/2024,382.23,3535552,381.15,382.91,378.90
05/01/2024,378.89,5731591,378.38,383.48,377.98
04/30/2024,378.13,3463622,382.46,382.749,378.08
04/29/2024,383.80,3265901,383.10,384.03,382.07
04/26/2024,382.31,4252374,380.75,383.34,380.53
04/25/2024,380.92,4682844,379.79,381.55,377.48
04/24/2024,384.44,3575814,384.87,385.4657,383.0201
04/23/2024,385.02,3126359,383.69,385.59,382.91
04/22/2024,382.37,4128981,381.73,384.44,379.81
04/19/2024,379.80,5078592,378.69,381.03,377.92
04/18/2024,377.84,4579224,379.05,380.93,376.85
04/17/2024,377.45,4584927,379.21,380.19,376.14
04/16/2024,377.98,4383476,379.74,379.93,377.04
04/15/2024,377.31,4870703,383.33,383.82,376.60
04/12/2024,379.87,5305137,382.31,382.93,378.81
04/11/2024,384.54,3972750,385.47,386.08,382.00
04/10/2024,384.51,5173092,384.92,385.97,383.03
04/09/2024,388.84,4004661,389.62,389.98,385.73
04/08/2024,389.10,2431263,389.05,390.14,388.57
04/05/2024,388.86,4423450,386.35,390.45,386.08
04/04/2024,386.02,5041177,394.03,394.24,385.60
04/03/2024,391.26,3547020,391.68,392.92,389.99
04/02/2024,391.63,4034859,391.97,392.14,390.28
04/01/2024,395.33,3825242,397.82,398.05,394.73
03/28/2024,397.76,3154954,398.06,398.56,397.04
03/27/2024,397.56,4427305,395.00,397.58,394.47
03/26/2024,392.85,3395400,393.68,394.2699,392.63
03/25/2024,392.95,2535639,393.92,394.15,392.82
03/22/2024,394.53,3156077,397.76,398.06,394.49
03/21/2024,397.75,4348433,396.31,398.82,395.81
03/20/2024,394.99,4823857,390.15,395.22,389.89
03/19/2024,390.90,3303843,388.16,391.09,387.47
03/18/2024,387.73,2060609,388.35,388.86,387.48
03/15/2024,387.00,4372282,387.74,389.26,386.04
03/14/2024,390.07,4471889,392.17,392.41,387.835
03/13/2024,391.22,2788710,391.69,392.79,390.06
03/12/2024,390.79,3275827,389.24,391.44,387.84
03/11/2024,388.42,3395968,386.92,388.65,385.50
03/08/2024,387.99,4256891,388.24,390.42,387.71
03/07/2024,388.45,2965692,389.07,389.72,387.83
03/06/2024,387.18,3039053,388.49,389.13,386.13
03/05/2024,386.19,4132398,388.99,389.29,384.92
03/04/2024,390.23,3048456,389.35,391.25,389.35
03/01/2024,391.31,3857487,389.85,391.61,388.88
02/29/2024,389.95,3026854,390.69,391.11,388.45
02/28/2024,389.60,3313885,387.94,389.739,387.60
02/27/2024,389.66,2370879,390.36,390.45,388.75
02/26/2024,390.71,1914059,391.45,392.41,390.235
02/23/2024,391.28,3451571,391.77,392.84,390.92
02/22/2024,390.54,4990678,388.36,391.47,387.91
02/21/2024,386.05,3031592,384.96,386.17,383.32
02/20/2024,385.69,3295719,385.51,386.57,384.54
02/16/2024,386.19,3772479,387.17,388.25,385.70
02/15/2024,388.25,3497179,385.19,388.33,384.88
02/14/2024,384.29,3465188,384.00,384.55,382.07
02/13/2024,382.82,5325289,385.07,385.16,380.46
02/12/2024,388.11,2412247,386.49,389.41,386.44
02/09/2024,386.72,3526260,387.19,387.50,385.755
02/08/2024,387.35,2549757,387.47,387.6638,385.51
02/07/2024,386.67,2797604,386.39,387.45,385.65
02/06/2024,385.08,2507834,383.92,385.3739,383.50
02/05/2024,383.58,3761593,385.99,385.99,382.12
02/02/2024,386.42,3344981,383.99,387.78,383.24
02/01/2024,385.10,3652450,381.40,385.15,380.97
01/31/2024,381.37,4476649,385.21,385.82,381.34
01/30/2024,384.49,2747880,382.82,384.95,382.49
01/29/2024,383.31,2730922,381.00,383.41,380.54
01/26/2024,381.09,3220960,379.98,382.1318,379.95
01/25/2024,380.48,3539123,379.07,380.56,377.92
01/24/2024,378.09,3967156,380.21,380.62,377.94
01/23/2024,379.04,3110079,379.36,379.8499,377.98
01/22/2024,380.07,5433385,379.69,381.08,379.08
01/19/2024,378.60,5218621,375.78,379.37,374.46
01/18/2024,374.81,3953372,372.23,375.33,371.36
01/17/2024,372.72,4360951,371.75,373.7479,371.335
01/16/2024,373.66,4471566,374.97,375.53,372.04
01/12/2024,375.91,3816872,377.48,378.25,374.73
01/11/2024,377.17,4095747,377.77,378.12,374.25
01/10/2024,376.95,2718694,375.55,377.47,375.29
01/09/2024,375.18,3230886,374.80,375.60,373.75
01/08/2024,376.84,4604945,373.40,376.97,372.47
01/05/2024,374.64,5381678,374.43,376.25,373.21
01/04/2024,374.54,4251858,374.84,377.22,374.40
01/03/2024,374.21,6393601,375.57,376.12,373.90
01/02/2024,377.09,5776310,374.80,377.815,374.80
12/29/2023,376.87,3364544,376.95,377.46,375.27
12/28/2023,377.03,2620375,376.52,377.69,376.52
12/27/2023,376.56,3061156,375.10,376.79,374.75
12/26/2023,375.35,2217790,373.68,376.09,373.58
12/22/2023,373.80,3330672,373.64,375.31,372.58
12/21/2023,373.88,3837525,372.89,374.13,371.16
12/20/2023,370.80,4564730,374.67,376.34,370.61
12/19/2023,375.50,3749223,373.24,375.56,373.12
12/18/2023,372.98,3403210,373.29,373.87,372.76
12/15/2023,372.63,6948448,371.74,373.39,371.33
12/14/2023,373.33,5506997,372.71,373.67,371.26
12/13/2023,371.74,4304814,366.60,371.74,366.00
12/12/2023,366.41,3239554,365.41,366.68,364.43
12/11/2023,364.69,3673195,363.60,364.87,363.00
12/08/2023,363.12,2930386,361.76,363.68,361.38
12/07/2023,361.83,3295633,361.96,362.36,360.93
12/06/2023,361.22,5583698,362.81,363.5508,360.83
12/05/2023,361.91,5372664,361.86,362.26,360.7001
12/04/2023,362.64,4210952,361.15,362.95,361.02
12/01/2023,363.05,5852530,360.02,363.25,359.86
11/30/2023,360.00,4094295,356.71,360.18,356.45
11/29/2023,354.65,2736296,354.97,356.13,354.37
11/28/2023,354.11,2759614,353.49,355.14,353.09
11/27/2023,353.32,2532411,353.63,354.14,352.78
11/24/2023,353.80,1245089,353.16,353.95,353.04
11/22/2023,352.56,3487554,351.89,353.14,351.50
11/21/2023,350.82,1849505,351.11,351.21,350.36
11/20/2023,351.52,2905683,349.10,352.24,349.07
11/17/2023,349.43,2059642,349.78,350.22,348.73
11/16/2023,350.02,3848044,349.58,350.801,348.75
11/15/2023,350.27,3149383,349.29,350.78,348.98
11/14/2023,348.42,4815484,347.52,349.52,346.67
11/13/2023,343.57,2624538,342.38,344.30,342.23
11/10/2023,343.01,3268678,340.81,343.30,339.27
11/09/2023,339.11,3940744,342.01,342.05,338.77
11/08/2023,341.12,2787851,342.10,342.59,339.94
11/07/2023,341.54,2793667,340.73,342.07,340.30
11/06/2023,341.04,2765984,340.86,341.64,339.89
11/03/2023,340.61,4046874,340.12,341.615,339.39
11/02/2023,338.39,5356290,334.78,338.52,334.41
11/01/2023,332.68,4546185,330.92,333.36,330.10
10/31/2023,330.48,3645788,329.18,330.68,327.84
10/30/2023,329.23,4617188,326.39,330.02,326.37
10/27/2023,324.19,4757335,327.84,327.88,323.21
10/26/2023,327.82,4882581,330.16,331.015,327.36
10/25/2023,330.35,3836267,332.22,332.69,329.83
10/24/2023,331.44,3583946,331.00,332.70,329.85
10/23/2023,329.32,3898317,329.90,332.33,328.88
10/20/2023,331.19,3960811,333.38,334.23,331.13
10/19/2023,334.12,5201842,336.69,338.62,333.76
10/18/2023,336.63,4141227,339.74,339.97,336.00
10/17/2023,339.99,3777752,338.33,341.52,338.27
10/16/2023,339.89,3969257,338.77,340.91,338.41
10/13/2023,336.68,5156179,337.48,339.61,335.52
10/12/2023,336.27,3314958,338.77,338.77,334.57
10/11/2023,338.03,2773946,338.19,338.84,336.16
10/10/2023,337.45,3769439,337.20,339.005,336.03
10/09/2023,336.09,3756331,332.95,336.38,332.59
10/06/2023,334.10,4491275,330.35,335.64,328.48
10/05/2023,331.17,3172173,330.82,331.75,329.39
10/04/2023,330.99,4877148,330.13,331.46,328.605
10/03/2023,329.98,4871058,332.84,333.88,329.0401
10/02/2023,334.09,4192554,334.29,335.02,332.08
09/29/2023,334.95,3786535,338.78,338.83,333.91
09/28/2023,336.62,4053596,335.32,337.67,334.57
09/27/2023,335.43,4442227,336.88,337.15,332.93
09/26/2023,336.04,4657329,337.87,338.74,335.55
09/25/2023,339.98,3104718,338.73,340.07,337.69
09/22/2023,339.58,3376724,340.69,341.43,339.32
09/21/2023,340.58,3489616,343.17,343.65,340.47
09/20/2023,344.32,3413547,346.04,347.655,344.20
09/19/2023,345.07,2741934,345.47,345.81,342.98
09/18/2023,346.15,2122839,346.28,347.13,345.31
09/15/2023,346.14,3581669,348.26,348.85,345.60
09/14/2023,349.94,3489445,348.66,350.63,347.73
09/13/2023,346.55,2025242,347.56,348.51,345.82
09/12/2023,347.21,1813791,346.64,349.3007,346.36
09/11/2023,347.37,1723147,348.02,348.59,346.51
09/08/2023,346.51,1666272,345.77,347.04,345.4785
09/07/2023,345.69,2378610,344.46,346.239,344.345
09/06/2023,345.00,2748394,346.45,346.51,343.4601
09/05/2023,346.98,1906879,349.08,349.275,346.90
09/01/2023,348.98,2533213,349.93,350.36,347.75
08/31/2023,347.81,2901394,350.92,351.28,347.74
08/30/2023,349.40,2792868,349.10,350.73,348.52
08/29/2023,348.62,3107659,345.56,348.75,345.40
08/28/2023,345.71,2382720,345.21,346.67,344.50
08/25/2023,343.50,3868478,342.46,344.55,340.35
08/24/2023,341.03,3840818,344.32,346.97,340.97
08/23/2023,344.83,2605361,343.53,345.3999,343.25
08/22/2023,342.96,2816954,344.79,345.14,342.57
08/21/2023,344.67,3176471,345.30,345.7201,342.49
08/18/2023,345.12,3525368,342.95,345.91,342.68
08/17/2023,345.06,4804147,348.95,349.32,344.82
08/16/2023,347.77,3586802,349.30,351.52,347.71
08/15/2023,349.61,2818665,351.67,352.02,349.18
08/14/2023,353.21,3134119,352.73,353.50,351.77
08/11/2023,353.00,2602563,351.19,353.72,350.61
08/10/2023,351.89,4133509,353.15,355.92,351.19
08/09/2023,351.28,2873270,352.87,353.676,350.54
08/08/2023,353.02,3033619,352.42,353.35,349.921
08/07/2023,354.62,2390841,352.04,354.87,351.88
08/04/2023,350.65,4269365,353.12,354.96,350.195
08/03/2023,351.99,3311075,351.60,353.39,351.115
08/02/2023,352.74,5063656,354.48,355.20,352.11
08/01/2023,356.20,2589490,355.27,356.70,355.14
07/31/2023,355.57,2204747,354.57,355.60,354.19
07/28/2023,354.48,3219645,354.51,355.55,353.4299
07/27/2023,352.77,4771028,355.86,356.36,352.04
07/26/2023,355.25,3084734,353.14,356.28,353.12
07/25/2023,354.32,2548734,353.80,355.175,353.55
07/24/2023,354.07,3073712,352.71,354.57,352.53
07/21/2023,352.14,2971667,352.81,353.32,351.71
07/20/2023,352.43,4561348,351.45,353.89,351.35
07/19/2023,350.69,5864344,350.40,352.45,350.40
07/18/2023,349.58,4626598,345.65,349.91,345.25
07/17/2023,345.85,2862078,344.56,346.70,344.22
07/14/2023,345.17,3293437,345.71,345.92,344.51
07/13/2023,343.92,2472305,344.34,344.88,343.70
07/12/2023,343.63,4140170,344.91,345.90,343.15
07/11/2023,342.64,2483185,340.74,342.92,339.9501
07/10/2023,339.58,2560175,337.40,339.65,337.17
07/07/2023,337.43,2852239,337.97,340.40,337.19
07/06/2023,339.23,3742373,340.24,340.87,337.70
07/05/2023,342.81,2719386,342.38,343.74,342.25
07/03/2023,344.07,1698417,343.00,344.53,342.78
06/30/2023,343.85,3027462,343.22,344.58,342.76
06/29/2023,341.16,2902696,338.41,341.39,338.11
06/28/2023,338.63,2305022,338.73,338.94,337.43
06/27/2023,339.23,1778826,337.10,339.65,337.10
06/26/2023,337.14,2301911,336.80,338.08,335.95
06/23/2023,337.16,3721634,337.12,338.19,336.22
06/22/2023,339.34,2607943,338.94,339.93,338.24
06/21/2023,339.43,3050709,339.62,340.91,338.68
06/20/2023,340.46,3389014,341.30,341.61,339.00
06/16/2023,342.95,5576750,345.35,345.73,342.72
06/15/2023,344.77,4722543,340.35,345.58,340.18
06/14/2023,340.42,3765987,341.39,342.04,338.3401
06/13/2023,342.62,3259337,341.74,343.63,341.60
06/12/2023,341.17,2044604,339.74,341.30,339.23
06/09/2023,339.27,3164958,338.57,340.26,338.32
06/08/2023,338.81,2703939,337.23,339.26,336.75
06/07/2023,337.17,2739025,336.54,337.52,335.93
06/06/2023,336.17,2824865,336.03,336.74,334.47
06/05/2023,336.13,3415632,338.21,338.48,335.96
06/02/2023,338.07,5584697,333.24,338.50,333.11
06/01/2023,330.94,3081261,328.91,331.98,327.32
05/31/2023,329.52,3067553,329.45,330.17,327.70
05/30/2023,330.52,3474510,330.65,331.315,328.92
05/26/2023,330.84,3580042,328.13,331.62,327.92
05/25/2023,327.75,3499937,328.07,328.725,325.82
05/24/2023,328.01,2978319,330.00,330.24,327.48
05/23/2023,330.61,2526195,331.76,333.10,330.08
05/22/2023,332.90,2555074,334.12,335.145,332.02
05/19/2023,334.19,3706728,335.96,336.45,333.22
05/18/2023,336.06,3553511,333.90,336.4399,332.75
05/17/2023,334.61,3068819,332.14,335.17,330.89
05/16/2023,330.35,2269518,332.71,333.07,330.28
05/15/2023,333.77,2170988,333.51,334.26,331.86
05/12/2023,333.20,2636361,334.42,334.45,331.31
05/11/2023,333.33,2744652,333.74,333.87,331.47
05/10/2023,335.49,3365513,337.40,337.85,332.49
05/09/2023,335.77,1924858,335.41,336.6785,335.15
05/08/2023,336.22,1789925,337.17,337.39,335.09
05/05/2023,336.73,3542727,334.26,337.50,333.94
05/04/2023,331.33,3576752,333.28,333.59,329.37
05/03/2023,334.11,3924108,337.13,338.18,333.93
05/02/2023,336.87,3275791,339.94,340.00,334.31
05/01/2023,340.36,2296207,341.10,342.59,340.26
04/28/2023,341.03,3651116,337.19,341.04,337.13
04/27/2023,338.20,3066618,334.18,338.58,333.83
04/26/2023,332.95,3588409,335.60,336.46,332.31
04/25/2023,335.33,2745284,338.17,338.68,335.20
04/24/2023,338.75,2288791,337.91,338.91,337.21
04/21/2023,338.11,2470056,338.26,338.58,336.81
04/20/2023,337.95,2179345,337.43,338.85,336.85
04/19/2023,338.99,2854701,339.11,339.63,338.19
04/18/2023,339.80,2191052,339.94,340.2224,337.90
04/17/2023,339.92,2226394,339.12,339.93,337.99
04/14/2023,338.84,3107859,339.94,340.85,337.31
04/13/2023,340.37,3040854,337.07,340.58,336.07
04/12/2023,336.61,3363762,338.61,339.01,335.96
04/11/2023,336.90,2343093,336.31,337.87,336.0148
04/10/2023,335.96,2834213,334.00,335.96,333.4327
04/06/2023,334.90,2333279,334.35,335.31,333.28
04/05/2023,334.82,2566604,334.00,335.45,333.76
04/04/2023,333.94,2449871,335.91,336.26,332.6301
04/03/2023,335.91,3450686,333.59,336.25,333.51
03/31/2023,332.62,2837333,329.59,332.81,329.51
03/30/2023,328.48,2486955,328.88,328.95,326.72
03/29/2023,327.08,2531695,326.58,327.1663,325.29
03/28/2023,323.81,2536520,323.99,325.65,322.84
03/27/2023,324.31,3550881,324.59,325.57,323.30
