Date,Close/Last,Volume,Open,High,Low
05/15/2024,$63.13,9838897,$63.06,$63.3915,$63.00
05/14/2024,$63.10,10852230,$63.58,$63.76,$62.80
05/13/2024,$63.58,10137620,$63.24,$63.62,$63.18
05/10/2024,$63.26,8371691,$62.92,$63.36,$62.79
05/09/2024,$62.88,9113662,$62.81,$63.15,$62.75
05/08/2024,$62.85,10484410,$62.85,$62.97,$62.48
05/07/2024,$62.62,9807029,$62.76,$62.82,$62.25
05/06/2024,$62.35,9310699,$62.30,$62.38,$61.895
05/03/2024,$62.17,11628680,$61.99,$62.33,$61.64
05/02/2024,$61.99,10991300,$62.18,$62.3991,$61.72
05/01/2024,$61.93,16730830,$61.80,$62.57,$61.21
04/30/2024,$61.77,19349150,$62.14,$62.83,$61.465
04/29/2024,$62.04,13420750,$61.92,$62.05,$61.53
04/26/2024,$61.74,10994260,$61.55,$61.93,$61.35
04/25/2024,$61.74,19048540,$61.87,$62.59,$61.37
04/24/2024,$61.55,19548320,$60.32,$61.65,$59.84
04/23/2024,$60.64,13689130,$60.53,$60.675,$60.13
04/22/2024,$60.55,15624550,$60.14,$60.63,$59.715
04/19/2024,$60.17,21207850,$59.10,$60.355,$58.995
04/18/2024,$58.91,11125870,$58.62,$58.98,$58.54
04/17/2024,$58.51,13805070,$58.28,$58.555,$58.10
04/16/2024,$58.06,11236840,$58.25,$58.38,$57.93
04/15/2024,$58.14,12425050,$58.61,$58.805,$58.04
04/12/2024,$58.28,12250950,$58.95,$59.01,$58.13
04/11/2024,$59.05,11109010,$59.15,$59.37,$58.785
04/10/2024,$58.92,11861880,$59.32,$59.39,$58.69
04/09/2024,$59.72,10792140,$59.48,$59.74,$59.13
04/08/2024,$59.27,10284540,$59.40,$59.47,$59.07
04/05/2024,$59.51,10157760,$59.25,$59.68,$58.9101
04/04/2024,$59.30,14320690,$60.09,$60.15,$59.17
04/03/2024,$59.83,13672920,$60.05,$60.39,$59.78
04/02/2024,$60.15,13017260,$60.45,$60.73,$60.11
04/01/2024,$60.68,11668690,$61.18,$61.30,$60.63
03/28/2024,$61.18,13683530,$61.14,$61.26,$60.995
03/27/2024,$61.03,12551220,$60.79,$61.43,$60.70
03/26/2024,$60.54,13277390,$60.50,$60.71,$60.38
03/25/2024,$60.40,13144650,$60.48,$60.71,$60.12
03/22/2024,$60.49,11502840,$60.52,$60.79,$60.43
03/21/2024,$60.47,13067080,$60.56,$60.99,$60.32
03/20/2024,$60.75,15258760,$60.18,$60.81,$60.155
03/19/2024,$60.23,15030630,$60.24,$60.35,$60.06
03/18/2024,$60.13,15856690,$59.89,$60.40,$59.801
03/15/2024,$59.88,36849930,$60.02,$60.45,$59.64
03/14/2024,$60.50,13996610,$60.58,$60.80,$60.40
03/13/2024,$61.12,13909460,$60.88,$61.21,$60.8001
03/12/2024,$60.50,12684650,$60.32,$60.75,$60.21
03/11/2024,$60.24,14114260,$59.78,$60.29,$59.575
03/08/2024,$59.52,13239010,$59.30,$59.79,$58.97
03/07/2024,$59.44,13686860,$59.69,$59.77,$59.24
03/06/2024,$59.55,12378820,$59.52,$59.995,$59.38
03/05/2024,$59.52,12309960,$59.91,$60.11,$59.42
03/04/2024,$59.81,10150240,$59.23,$59.95,$59.22
03/01/2024,$59.53,10927560,$59.90,$59.90,$59.34
02/29/2024,$60.02,18152650,$60.35,$60.64,$59.90
02/28/2024,$60.40,8076536,$60.37,$60.49,$60.06
02/27/2024,$60.34,9931088,$60.54,$60.78,$60.12
02/26/2024,$60.71,10336100,$61.24,$61.27,$60.66
02/23/2024,$61.20,13612910,$61.09,$61.62,$61.00
02/22/2024,$61.15,12982800,$60.99,$61.25,$60.50
02/21/2024,$61.24,14378260,$60.99,$61.28,$60.83
02/20/2024,$60.70,18339320,$59.595,$60.84,$59.51
02/16/2024,$59.39,13947060,$59.35,$59.62,$58.955
02/15/2024,$59.40,13695850,$59.42,$59.59,$59.13
02/14/2024,$59.29,15872450,$59.17,$59.59,$59.035
02/13/2024,$59.35,24195710,$59.50,$60.655,$58.79
02/12/2024,$59.70,13516780,$59.66,$59.76,$58.96
02/09/2024,$59.56,15235250,$59.47,$59.58,$59.03
02/08/2024,$59.83,12874760,$59.89,$59.97,$59.41
02/07/2024,$59.99,10259890,$60.07,$60.21,$59.94
02/06/2024,$59.94,12777150,$59.96,$60.05,$59.68
02/05/2024,$60.04,12759570,$60.38,$60.38,$59.88
02/02/2024,$60.54,17544910,$60.82,$60.87,$60.23
02/01/2024,$60.98,15870880,$59.57,$61.005,$59.36
01/31/2024,$59.49,22837000,$60.10,$60.45,$59.29
01/30/2024,$59.90,22061540,$59.85,$60.02,$59.445
01/29/2024,$59.73,14547070,$59.34,$59.79,$59.17
01/26/2024,$59.37,13025070,$59.25,$59.49,$59.125
01/25/2024,$59.16,14899710,$59.01,$59.17,$58.66
01/24/2024,$58.91,16370480,$59.80,$59.81,$58.89
01/23/2024,$59.85,14481640,$59.53,$60.00,$59.46
01/22/2024,$59.57,14314270,$59.755,$60.065,$59.44
01/19/2024,$59.83,14392600,$60.26,$60.28,$59.64
01/18/2024,$60.16,10397680,$59.69,$60.23,$59.525
01/17/2024,$59.99,8982132,$59.86,$60.21,$59.82
01/16/2024,$59.99,11826910,$60.39,$60.43,$59.85
01/12/2024,$60.39,13218010,$60.08,$60.46,$59.87
01/11/2024,$59.81,13754230,$60.25,$60.26,$59.69
01/10/2024,$60.20,12257980,$60.22,$60.41,$59.98
01/09/2024,$60.00,10493650,$59.99,$60.135,$59.62
01/08/2024,$60.11,11554630,$59.68,$60.18,$59.42
01/05/2024,$59.67,10412800,$59.80,$59.95,$59.0921
01/04/2024,$59.76,12912930,$60.05,$60.26,$59.66
01/03/2024,$59.96,14830630,$59.93,$60.20,$59.76
01/02/2024,$59.82,16322590,$58.80,$59.88,$58.67
12/29/2023,$58.93,9244339,$58.74,$58.98,$58.63
12/28/2023,$58.75,8400138,$58.65,$58.87,$58.525
12/27/2023,$58.71,8560060,$58.64,$58.77,$58.40
12/26/2023,$58.56,6422531,$58.06,$58.705,$58.06
12/22/2023,$58.32,9029440,$58.12,$58.46,$58.02
12/21/2023,$57.99,11725120,$57.85,$58.07,$57.47
12/20/2023,$57.61,17701000,$58.50,$58.67,$57.57
12/19/2023,$58.83,14612200,$59.00,$59.20,$58.635
12/18/2023,$59.02,16717660,$58.80,$59.49,$58.62
12/15/2023,$58.60,65177380,$58.83,$59.17,$57.80
12/14/2023,$59.04,22478310,$59.97,$60.04,$58.77
12/13/2023,$59.93,16196750,$59.45,$60.02,$59.26
12/12/2023,$59.42,12899010,$59.20,$59.42,$58.895
12/11/2023,$59.04,14524770,$58.83,$59.09,$58.50
12/08/2023,$58.61,11178670,$58.74,$58.75,$58.365
12/07/2023,$58.74,11587870,$58.67,$58.8901,$58.39
12/06/2023,$58.60,14868550,$58.56,$58.73,$58.205
12/05/2023,$58.66,11891510,$58.55,$58.83,$58.415
12/04/2023,$58.57,14942250,$58.59,$58.955,$58.44
12/01/2023,$58.64,15371150,$58.27,$58.685,$58.24
11/30/2023,$58.44,22727490,$57.96,$58.455,$57.60
11/29/2023,$58.23,11263630,$58.58,$58.67,$58.10
11/28/2023,$58.58,13739610,$58.40,$58.83,$58.36
11/27/2023,$58.46,16246510,$58.54,$58.69,$58.27
11/24/2023,$58.57,4816024,$58.46,$58.75,$58.335
11/22/2023,$58.42,11327150,$58.26,$58.535,$58.1271
11/21/2023,$58.03,13891650,$57.46,$58.04,$57.33
11/20/2023,$57.40,13053920,$57.05,$57.575,$56.955
11/17/2023,$57.26,14476630,$57.19,$57.34,$56.70
11/16/2023,$57.15,16010450,$57.25,$57.53,$56.81
11/15/2023,$57.21,10201860,$57.30,$57.335,$56.75
