Date,Close/Last,Volume,Open,High,Low
05/22/2024,39671.04,N/A,39863.33,39890.91,39559.09
05/21/2024,39872.99,N/A,39804.40,39905.80,39778.73
05/20/2024,39806.77,N/A,39989.76,40077.40,39787.09
05/17/2024,40003.59,N/A,39911.72,40010.88,39858.86
05/16/2024,39869.38,N/A,39912.34,40051.05,39864.68
05/15/2024,39908.00,N/A,39615.10,39935.04,39615.10
05/14/2024,39558.11,N/A,39466.76,39616.41,39371.92
05/13/2024,39431.51,N/A,39591.28,39647.39,39403.05
05/10/2024,39512.84,N/A,39466.52,39579.88,39406.26
05/09/2024,39387.76,N/A,39064.27,39413.66,38988.85
05/08/2024,39056.39,N/A,38818.90,39094.74,38814.99
05/07/2024,38884.26,N/A,38858.94,38977.61,38840.40
05/06/2024,38852.27,N/A,38762.43,38886.47,38689.38
05/03/2024,38675.68,N/A,38709.36,38808.52,38518.28
05/02/2024,38225.66,N/A,38075.65,38295.29,37895.66
05/01/2024,37903.29,N/A,37845.56,38349.20,37780.54
04/30/2024,37815.92,N/A,38337.40,38337.40,37810.12
04/29/2024,38386.09,N/A,38282.16,38406.20,38215.47
04/26/2024,38239.66,N/A,38114.70,38337.64,38065.05
04/25/2024,38085.80,N/A,38052.09,38157.22,37754.38
04/24/2024,38460.92,N/A,38552.79,38552.79,38310.55
04/23/2024,38503.69,N/A,38356.07,38561.50,38297.72
04/22/2024,38239.98,N/A,38116.89,38447.16,37985.07
04/19/2024,37986.40,N/A,37801.98,38102.57,37781.61
04/18/2024,37775.38,N/A,37847.21,38083.76,37681.52
04/17/2024,37753.31,N/A,37949.67,38036.70,37611.56
04/16/2024,37798.97,N/A,37992.22,37992.22,37713.70
04/15/2024,37735.11,N/A,38075.38,38386.81,37657.79
04/12/2024,37983.24,N/A,38319.14,38319.14,37877.30
04/11/2024,38459.08,N/A,38523.26,38598.98,38197.28
04/10/2024,38461.51,N/A,38662.28,38662.28,38304.66
04/09/2024,38883.67,N/A,38983.66,38992.89,38572.09
04/08/2024,38892.80,N/A,38916.42,39013.20,38857.70
04/05/2024,38904.04,N/A,38664.98,39040.17,38602.18
04/04/2024,38596.98,N/A,39343.60,39421.35,38559.42
04/03/2024,39127.14,N/A,39139.59,39305.76,39017.13
04/02/2024,39170.24,N/A,39256.27,39256.27,39051.70
04/01/2024,39566.85,N/A,39807.93,39815.00,39491.22
