Date,Close/Last,Volume,Open,High,Low
05/15/2024,$273.87,2982621,$271.11,$274.37,$270.231
05/14/2024,$270.66,3143235,$272.12,$272.77,$268.7124
05/13/2024,$271.32,3840670,$275.38,$276.74,$271.14
05/10/2024,$275.00,4983501,$268.17,$275.38,$267.84
05/09/2024,$267.95,3139960,$268.46,$268.48,$267.02
05/08/2024,$268.49,3259842,$267.50,$268.93,$266.06
05/07/2024,$267.50,3160026,$270.04,$270.67,$266.99
05/06/2024,$269.30,2481336,$271.06,$271.875,$269.04
05/03/2024,$270.32,2642344,$274.14,$274.62,$268.89
05/02/2024,$273.28,3083956,$274.51,$276.31,$272.71
05/01/2024,$274.43,4843553,$271.38,$276.43,$270.05
04/30/2024,$273.04,6894367,$264.33,$276.8699,$262.63
04/29/2024,$273.55,3187813,$273.83,$274.43,$272.595
04/26/2024,$273.09,3636458,$271.23,$276.11,$270.3701
04/25/2024,$275.60,4179755,$277.02,$279.82,$274.72
04/24/2024,$276.75,4071571,$275.54,$277.03,$272.89
04/23/2024,$276.88,3275678,$276.82,$277.40,$274.24
04/22/2024,$275.58,3129435,$273.75,$276.50,$272.32
04/19/2024,$271.99,3017097,$272.01,$272.22,$270.48
04/18/2024,$270.98,3402674,$270.98,$271.29,$268.845
04/17/2024,$269.95,3383099,$266.50,$270.12,$265.52
04/16/2024,$265.43,2912853,$266.13,$266.99,$265.15
04/15/2024,$266.23,3686881,$267.86,$268.525,$266.05
04/12/2024,$267.39,2708630,$267.91,$268.23,$266.58
04/11/2024,$268.62,2519172,$269.50,$269.88,$267.15
04/10/2024,$268.67,3817458,$266.97,$268.99,$265.11
04/09/2024,$269.44,3935142,$266.22,$269.67,$265.50
04/08/2024,$267.56,3753206,$267.24,$268.6892,$265.87
04/05/2024,$266.69,6816035,$269.42,$270.62,$266.36
04/04/2024,$270.09,4095144,$276.24,$276.24,$269.92
04/03/2024,$275.54,2747979,$276.57,$277.96,$275.15
04/02/2024,$277.74,2907899,$280.00,$280.48,$277.45
04/01/2024,$280.22,2408799,$281.50,$281.55,$278.64
03/28/2024,$281.95,3454073,$282.25,$283.3799,$281.2525
03/27/2024,$282.02,2604991,$278.10,$282.30,$278.10
03/26/2024,$278.62,2572061,$279.22,$279.45,$277.17
03/25/2024,$278.62,2985467,$280.00,$280.58,$277.64
03/22/2024,$282.63,2556320,$283.88,$284.385,$282.12
03/21/2024,$283.53,3653332,$284.50,$285.58,$282.64
03/20/2024,$284.45,2867302,$283.50,$284.60,$281.37
03/19/2024,$282.87,4055380,$279.20,$284.40,$278.585
03/18/2024,$278.58,3319435,$279.47,$280.30,$278.07
03/15/2024,$279.14,5071675,$281.89,$284.23,$278.38
03/14/2024,$281.73,4659308,$282.42,$282.52,$277.829
03/13/2024,$282.86,5441262,$292.26,$293.47,$282.60
03/12/2024,$294.31,2233076,$295.68,$296.355,$293.54
03/11/2024,$294.82,2893336,$292.15,$295.45,$291.87
03/08/2024,$292.55,2482336,$290.04,$293.48,$288.83
03/07/2024,$291.11,2237730,$294.20,$294.915,$291.03
03/06/2024,$292.93,2347965,$293.33,$295.14,$292.15
03/05/2024,$292.54,2969609,$291.56,$293.51,$288.92
03/04/2024,$290.94,2832011,$289.37,$291.24,$288.50
03/01/2024,$290.73,3028869,$291.39,$292.67,$289.53
02/29/2024,$292.28,3601848,$294.20,$294.75,$291.71
02/28/2024,$295.19,2507286,$294.03,$296.10,$292.72
02/27/2024,$293.76,2811237,$296.80,$296.80,$293.32
02/26/2024,$297.12,2595344,$298.21,$298.68,$296.40
02/23/2024,$297.75,2199138,$296.00,$298.74,$295.07
02/22/2024,$295.92,3146598,$294.00,$296.67,$293.245
02/21/2024,$293.91,2076811,$293.09,$295.20,$292.25
02/20/2024,$292.65,2263994,$292.00,$295.4999,$291.84
02/16/2024,$292.02,2837573,$290.79,$293.70,$289.26
02/15/2024,$291.86,2401617,$287.90,$292.10,$287.28
02/14/2024,$288.17,2139326,$287.32,$288.32,$286.59
02/13/2024,$287.11,2756190,$288.63,$289.90,$285.67
02/12/2024,$289.44,2392314,$289.00,$291.19,$288.76
02/09/2024,$289.47,3323000,$292.15,$292.51,$288.92
02/08/2024,$291.93,4605245,$286.20,$293.15,$284.20
02/07/2024,$287.33,3954659,$285.05,$290.53,$284.11
02/06/2024,$284.65,5928192,$282.97,$284.68,$281.54
02/05/2024,$285.97,7581895,$287.01,$291.44,$283.33
02/02/2024,$297.05,3971607,$296.07,$298.17,$293.35
02/01/2024,$298.08,3380568,$291.70,$298.13,$290.28
01/31/2024,$292.72,3476264,$295.90,$297.44,$291.655
01/30/2024,$294.65,2524205,$292.14,$294.92,$290.20
01/29/2024,$292.31,3899706,$291.64,$292.76,$288.31
01/26/2024,$292.26,4210521,$295.33,$295.98,$291.70
01/25/2024,$297.21,3219625,$300.74,$301.31,$296.09
01/24/2024,$300.44,3209675,$300.00,$302.035,$299.31
01/23/2024,$300.05,1873976,$297.44,$300.21,$297.125
01/22/2024,$298.41,3250224,$300.95,$302.39,$297.7375
01/19/2024,$300.53,4250885,$298.00,$301.08,$296.525
01/18/2024,$294.36,2221156,$292.09,$294.48,$291.31
01/17/2024,$291.16,2008289,$290.14,$292.34,$290.125
01/16/2024,$291.09,2859014,$293.47,$294.25,$289.98
01/12/2024,$293.47,1714818,$295.46,$295.75,$292.84
01/11/2024,$294.15,2047352,$294.45,$294.95,$290.65
01/10/2024,$294.09,2199689,$291.00,$294.39,$290.87
01/09/2024,$290.87,2176451,$289.63,$290.87,$287.52
01/08/2024,$291.90,3097218,$288.51,$292.00,$287.52
01/05/2024,$288.99,3407310,$289.21,$290.33,$287.20
01/04/2024,$291.74,4615370,$295.32,$297.27,$290.92
01/03/2024,$294.39,3114788,$297.00,$297.99,$294.25
01/02/2024,$297.04,4458519,$295.05,$297.28,$295.05
12/29/2023,$296.51,2227806,$295.83,$296.85,$295.31
12/28/2023,$295.84,1907271,$294.47,$296.47,$294.00
12/27/2023,$294.55,1892081,$292.50,$294.63,$292.465
12/26/2023,$292.86,1381655,$291.22,$293.05,$290.89
12/22/2023,$291.70,1700320,$290.70,$292.47,$290.50
12/21/2023,$291.39,2313127,$290.57,$291.53,$289.2883
12/20/2023,$288.99,2398593,$290.73,$291.67,$288.72
12/19/2023,$290.73,2054430,$290.67,$291.72,$289.59
12/18/2023,$290.23,2490110,$288.65,$290.59,$287.56
12/15/2023,$287.27,6328510,$290.41,$291.75,$285.72
12/14/2023,$290.02,4626777,$294.60,$295.27,$288.01
12/13/2023,$295.93,3312275,$291.69,$295.97,$291.5487
12/12/2023,$291.42,2252223,$289.12,$291.70,$288.51
12/11/2023,$289.15,3353037,$285.56,$289.31,$285.56
12/08/2023,$285.53,3623843,$287.33,$287.895,$285.05
12/07/2023,$286.79,3131914,$287.49,$288.15,$285.64
12/06/2023,$286.86,2765101,$286.73,$287.37,$283.40
12/05/2023,$286.54,3005333,$286.55,$288.76,$285.205
12/04/2023,$286.13,3522889,$284.99,$287.40,$284.99
12/01/2023,$285.96,4967526,$283.25,$286.86,$283.00
11/30/2023,$281.84,5030565,$280.42,$282.28,$278.06
11/29/2023,$280.38,2433432,$282.21,$282.47,$279.50
11/28/2023,$282.09,2199591,$281.50,$283.54,$281.345
11/27/2023,$281.84,3703855,$282.66,$283.90,$281.09
11/24/2023,$282.54,1217950,$282.00,$282.59,$281.03
11/22/2023,$281.93,2285961,$281.25,$282.41,$281.20
11/21/2023,$280.47,2941040,$279.87,$280.67,$278.43
11/20/2023,$279.03,3499648,$275.35,$279.795,$275.02
11/17/2023,$275.75,2604865,$276.55,$277.12,$275.15
11/16/2023,$276.12,3593676,$271.07,$276.16,$271.03
11/15/2023,$270.39,2576075,$272.43,$273.10,$269.025
11/14/2023,$271.49,2647793,$270.00,$271.66,$269.35
11/13/2023,$269.20,2591880,$267.40,$269.72,$267.255
11/10/2023,$267.79,2665049,$267.33,$268.125,$265.21
11/09/2023,$266.91,2501652,$268.24,$268.34,$265.94
11/08/2023,$267.49,2223517,$268.83,$270.06,$267.28
11/07/2023,$268.67,2360790,$268.80,$269.79,$268.11
11/06/2023,$268.91,3090714,$268.01,$269.105,$267.30
11/03/2023,$267.87,3126467,$267.56,$268.61,$265.485
11/02/2023,$266.85,4109728,$263.59,$267.42,$263.51
11/01/2023,$261.97,3542997,$263.00,$263.385,$259.835
10/31/2023,$262.17,3990553,$263.46,$263.69,$259.75
10/30/2023,$260.15,6305078,$260.10,$262.06,$254.60
10/27/2023,$255.76,3209027,$256.55,$259.38,$254.87
10/26/2023,$255.83,2702639,$258.36,$259.54,$255.68
10/25/2023,$258.03,2759053,$258.12,$259.43,$256.94
10/24/2023,$257.27,2467986,$254.68,$257.76,$254.68
10/23/2023,$254.75,3409763,$256.61,$257.235,$254.54
10/20/2023,$258.11,3779195,$258.96,$260.34,$257.56
10/19/2023,$258.38,5646173,$256.26,$262.56,$256.26
10/18/2023,$256.03,4559192,$252.85,$257.09,$252.3439
10/17/2023,$251.14,2627508,$250.09,$251.40,$249.38
10/16/2023,$249.94,2774674,$249.22,$250.49,$248.07
10/13/2023,$248.31,2647124,$246.82,$248.809,$246.00
10/12/2023,$246.19,3528336,$251.69,$252.15,$245.88
10/11/2023,$250.92,2919421,$252.59,$252.6925,$249.3862
10/10/2023,$251.52,3129625,$251.72,$253.43,$250.50
10/09/2023,$249.92,2782286,$247.72,$249.99,$247.26
10/06/2023,$248.22,5130674,$250.00,$250.8229,$245.73
10/05/2023,$252.23,3799645,$256.00,$257.85,$251.58
10/04/2023,$255.81,2819983,$255.33,$256.25,$254.01
10/03/2023,$254.49,3408128,$257.21,$258.30,$253.87
10/02/2023,$257.75,4425045,$262.00,$262.065,$257.455
09/29/2023,$263.44,3367111,$267.15,$267.37,$261.75
09/28/2023,$265.59,2182553,$264.23,$266.305,$263.1311
09/27/2023,$263.64,2734864,$267.72,$267.94,$262.285
09/26/2023,$267.72,2251605,$268.82,$269.30,$266.58
09/25/2023,$269.78,1895538,$270.45,$271.76,$268.91
09/22/2023,$272.22,1958486,$271.40,$273.64,$270.83
09/21/2023,$271.22,2370338,$276.94,$277.19,$271.02
09/20/2023,$277.20,1979858,$278.74,$280.27,$277.14
09/19/2023,$278.13,2128275,$276.44,$278.255,$276.44
09/18/2023,$277.72,2884929,$278.72,$280.27,$276.93
09/15/2023,$278.23,5730667,$283.86,$283.86,$277.73
09/14/2023,$284.76,2219694,$283.33,$285.60,$282.57
09/13/2023,$281.77,1724297,$281.67,$282.89,$280.61
09/12/2023,$280.71,1450296,$279.49,$281.495,$277.685
09/11/2023,$279.76,2433249,$279.69,$280.13,$278.56
09/08/2023,$279.22,2351438,$278.08,$280.35,$277.85
09/07/2023,$278.33,3732754,$277.25,$278.99,$276.0987
09/06/2023,$275.44,2705819,$278.00,$278.6476,$275.00
09/05/2023,$279.16,2410330,$281.00,$281.64,$279.06
09/01/2023,$280.94,2136591,$282.54,$283.14,$279.131
08/31/2023,$281.15,2979992,$283.21,$283.80,$280.88
08/30/2023,$284.24,2410679,$283.80,$285.98,$283.29
08/29/2023,$283.59,2348500,$283.95,$284.57,$280.43
08/28/2023,$283.68,2317623,$284.58,$286.20,$283.51
08/25/2023,$284.58,3725184,$284.76,$286.14,$283.51
08/24/2023,$282.35,2006481,$281.74,$284.75,$281.74
08/23/2023,$281.87,2308755,$282.02,$283.15,$280.645
08/22/2023,$280.31,2052393,$280.76,$280.82,$279.09
08/21/2023,$280.04,2682569,$281.70,$282.29,$278.675
08/18/2023,$281.74,2624502,$281.72,$283.74,$280.30
08/17/2023,$281.86,2148388,$286.15,$286.54,$281.78
08/16/2023,$285.40,1829562,$287.57,$288.88,$285.03
08/15/2023,$288.30,1883806,$287.95,$289.085,$287.12
08/14/2023,$288.81,1712569,$288.79,$289.85,$287.62
08/11/2023,$288.62,1761803,$287.25,$288.96,$286.76
08/10/2023,$287.60,2436537,$288.81,$290.37,$286.78
08/09/2023,$288.23,1895857,$289.00,$289.72,$287.88
