Date,Close/Last,Volume,Open,High,Low,Time_index,Close/Last_Procter,Volume_Procter,Open_Procter,High_Procter,Low_Procter,Close/Last_3M,Volume_3M,Open_3M,High_3M,Low_3M,Close/Last_Merck,Volume_Merck,Open_Merck,High_Merck,Low_Merck,Close/Last_IBM,Volume_IBM,Open_IBM,High_IBM,Low_IBM,Close/Last_Amex,Volume_Amex,Open_Amex,High_Amex,Low_Amex,Close/Last_McDonalds,Volume_McDonalds,Open_McDonalds,High_McDonalds,Low_McDonalds,Close/Last_Coca,Volume_Coca,Open_Coca,High_Coca,Low_Coca,Close/Last_Boeing,Volume_Boeing,Open_Boeing,High_Boeing,Low_Boeing,Close/Last_JPMorgan,Volume_JPMorgan,Open_JPMorgan,High_JPMorgan,Low_JPMorgan,Close/Last_Dow,Volume_Dow,Open_Dow,High_Dow,Low_Dow,Close/Last_Disney,Volume_Disney,Open_Disney,High_Disney,Low_Disney,Close/Last_Caterpillar,Volume_Caterpillar,Open_Caterpillar,High_Caterpillar,Low_Caterpillar,Close/Last_Walmart,Volume_Walmart,Open_Walmart,High_Walmart,Low_Walmart,Close/Last_JNJ,Volume_JNJ,Open_JNJ,High_JNJ,Low_JNJ,Close/Last_Microsoft,Volume_Microsoft,Open_Microsoft,High_Microsoft,Low_Microsoft,Close/Last_Intel,Volume_Intel,Open_Intel,High_Intel,Low_Intel,Close/Last_HomeDepot,Volume_HomeDepot,Open_HomeDepot,High_HomeDepot,Low_HomeDepot,Close/Last_Verizon,Volume_Verizon,Open_Verizon,High_Verizon,Low_Verizon,Close/Last_Chevron,Volume_Chevron,Open_Chevron,High_Chevron,Low_Chevron,Close/Last_Travelers,Volume_Travelers,Open_Travelers,High_Travelers,Low_Travelers,Close/Last_Cisco,Volume_Cisco,Open_Cisco,High_Cisco,Low_Cisco,Close/Last_UnitedHealth,Volume_UnitedHealth,Open_UnitedHealth,High_UnitedHealth,Low_UnitedHealth,Close/Last_Visa,Volume_Visa,Open_Visa,High_Visa,Low_Visa,Close/Last_Nike,Volume_Nike,Open_Nike,High_Nike,Low_Nike,Close/Last_Apple,Volume_Apple,Open_Apple,High_Apple,Low_Apple,Close/Last_Goldman,Volume_Goldman,Open_Goldman,High_Goldman,Low_Goldman,Close/Last_Salesforce,Volume_Salesforce,Open_Salesforce,High_Salesforce,Low_Salesforce,Close/Last_Honeywell,Volume_Honeywell,Open_Honeywell,High_Honeywell,Low_Honeywell,Close/Last_Amgen,Volume_Amgen,Open_Amgen,High_Amgen,Low_Amgen,Close/Last_Amazon,Volume_Amazon,Open_Amazon,High_Amazon,Low_Amazon,Close/Last_Exxon,Volume_Exxon,Open_Exxon,High_Exxon,Low_Exxon,Close/Last_Pfizer,Volume_Pfizer,Open_Pfizer,High_Pfizer,Low_Pfizer,Close/Last_Raytheon,Volume_Raytheon,Open_Raytheon,High_Raytheon,Low_Raytheon,Close/Last_Walgreens,Volume_Walgreens,Open_Walgreens,High_Walgreens,Low_Walgreens
2019-05-22,25776.61,,25818.46,25878.21,25755.11,0,106.72,4889697,106.09,107.05,105.94,145.704,4504159,143.7211,146.5796,142.8885,78.1515,12873870,76.5784,78.3156,76.5398,131.9741,1849821,131.6353,132.3613,131.3562,120.01,2941084,120.36,120.88,119.44,199.96,1760440,199.52,200.17,198.5,49.65,16050700,48.78,49.71,48.72,352.78,3841430,357.22,357.57,351.75,110.82,7918898,111.4,111.79,110.75,50.21,3019120,50.46,50.61,49.965,133.85,5093746,133.82,134.17,133.39,123.56,4620431,124.25,125.4393,123.52,34.0767,22022627,33.8667,34.1433,33.6867,138.76,5456839,138.35,138.95,137.485,127.67,15396490,126.62,128.24,126.52,44.0,16932520,44.15,44.46,43.845,188.91,5706339,190.49,192.22,188.05,59.25,11487450,59.09,59.37,58.96,120.57,5763543,120.9,121.435,120.34,147.96,1104158,147.48,148.2616,146.94,55.69,19479170,56.22,56.3,55.67,249.34,4038028,249.1,251.03,248.71,164.24,5416382,163.6,165.63,163.45,83.2,5237761,82.99,83.34,82.76,45.695,118994240,46.165,46.4275,45.6375,195.52,2427247,197.44,198.48,195.46,,,,,,,,,,,,,,,,,,,,,75.56,7858317.0,76.02,76.22,75.385,41.044,23979960.0,40.7508,41.2591,40.6139,80.2919,1942732.0,80.2623,80.8315,80.0133,52.94,3372200.0,52.77,53.01,52.39
2019-05-23,25490.47,,25657.99,25657.99,25328.09,1,106.76,6175566,106.68,107.03,105.885,142.382,3830288,143.8499,144.4679,141.2833,78.1901,9381160,77.7848,78.3542,77.6014,128.1412,5343437,130.7933,130.7933,126.2538,118.43,3290185,119.27,119.4,117.85,198.97,3560545,198.81,199.43,198.1,49.85,12199510,49.5,49.9,49.4601,350.55,5305388,345.92,351.47,341.15,108.64,14557970,109.64,109.79,107.5,48.71,4919173,49.5,49.86,48.21,132.73,6743329,132.71,133.55,131.95,122.26,4964856,122.1,123.76,121.41,33.9533,19363829,33.94,33.9767,33.6422,139.79,6951797,138.5,139.85,137.67,126.18,23603810,126.2,126.29,124.74,44.53,35783930,43.37,44.74,42.86,192.0,7754163,188.45,192.54,186.27,58.87,11707080,59.0,59.275,58.54,117.87,11000550,118.81,118.87,116.86,146.94,1803126,147.32,147.46,145.48,54.19,22734210,54.91,55.01,53.94,246.5,3934570,247.98,248.1465,244.39,161.51,6137978,163.5,164.25,160.82,82.64,9704192,82.5,83.06,81.99,44.915,146118960,44.95,45.135,44.4525,191.97,3184179,193.0,193.0,189.56,,,,,,,,,,,,,,,,,,,,,73.79,14657220.0,74.77,74.8,73.04,40.9756,24190000.0,40.8974,41.0342,40.7068,77.3509,5653665.0,78.5783,79.3491,76.7224,51.61,5041566.0,52.49,52.5,51.36
2019-05-24,25585.69,,25551.07,25670.81,25496.2,2,106.69,4372083,107.15,107.435,106.54,142.5709,2366928,142.7855,143.7126,141.9099,78.3349,5793580,78.4603,79.0779,78.277,128.0347,2596121,129.2446,129.9367,127.3669,119.51,2240143,119.21,119.63,118.3258,197.77,2105755,199.87,199.9,197.33,49.61,6887900,49.82,49.89,49.53,354.9,5387544,355.0,361.4,353.0,109.71,8537252,109.52,109.96,109.19,49.2,2918936,49.39,49.575,48.44,132.79,4570132,133.1,133.29,132.22,122.9,3802541,123.52,124.08,122.21,34.2233,13449502,34.06,34.295,34.0267,138.85,5473499,139.5,139.5,138.56,126.24,14123360,126.91,127.415,125.97,44.57,27168070,44.59,45.05,44.49,193.59,3799486,192.54,193.86,190.41,59.32,8755506,59.07,59.36,58.67,118.71,4890961,118.3,118.93,117.38,147.94,919326,147.38,148.1,146.75,54.37,13057590,54.57,54.67,54.06,247.63,2974038,247.25,249.36,245.51,162.64,4105718,162.75,163.41,161.72,82.16,5998980,82.2,83.17,82.09,44.7425,94858760,45.05,45.535,44.655,193.0,1637338,192.89,194.07,191.68,,,,,,,,,,,,,,,,,,,,,74.1,7056566.0,74.14,74.25,73.44,41.0049,14595230.0,41.1124,41.3519,40.9218,77.9142,3116979.0,77.4635,78.1988,77.09,51.77,4296034.0,51.78,51.84,51.16
2019-05-28,25347.77,,25616.55,25717.63,25342.28,3,104.46,7615505,106.7,107.245,104.42,140.2189,4875105,143.1804,143.3434,140.2189,77.4567,13148600,78.5375,79.0732,77.4277,126.2731,4909121,127.8895,128.3832,126.0892,118.17,2550345,119.36,120.12,118.17,196.67,3675164,198.28,199.38,196.38,49.1,18614230,49.6,49.67,49.03,354.88,3504281,355.29,359.31,354.88,108.52,11665580,109.2,109.83,108.44,48.56,6613184,49.37,49.43,48.1,132.62,8938370,133.21,134.04,132.59,121.59,4889389,122.9,123.46,121.51,34.14,30815583,34.1867,34.5233,34.1333,137.07,11919580,139.0,140.49,137.0,126.16,23128360,126.98,128.0,126.05,43.57,34779860,44.66,44.69,43.3,191.55,5165764,194.38,196.47,191.35,58.73,21860760,59.21,59.87,58.66,118.31,8145135,118.88,119.32,118.165,146.28,1243908,148.0,148.8,146.25,53.93,29769160,54.74,55.03,53.82,242.06,6172696,248.5,249.3,241.9,163.71,10202740,163.4,165.77,163.33,81.2,7927485,82.85,83.19,81.13,44.5575,111792640,44.73,45.1475,44.4775,189.44,3039950,192.0,193.31,189.39,,,,,,,,,,,,,,,,,,,,,72.61,14912930.0,74.24,74.25,72.485,40.956,46907900.0,41.2004,41.523,40.9463,77.0366,4040204.0,78.0506,78.9104,77.0129,51.69,6458099.0,51.84,52.28,51.625
2019-05-29,25126.41,,25231.46,25231.46,24938.24,4,104.19,7137275,103.96,104.81,103.7,138.545,3669087,139.927,140.6052,137.7725,76.5881,10762270,77.3216,77.5628,75.9994,125.5278,3678978,125.8279,126.0989,124.2018,117.01,2554183,117.71,117.81,116.04,196.02,2925087,195.85,196.7,194.85,48.61,12534850,48.74,49.03,48.41,348.8,4160546,352.59,352.79,346.05,108.22,9966365,107.45,108.4,107.06,48.71,3525856,48.2,49.43,48.01,131.57,7749591,131.96,132.15,130.7783,121.48,5330040,120.5,122.825,120.26,34.04,19560689,34.0367,34.2917,33.8233,131.33,23247410,135.89,135.89,128.52,124.94,22763140,125.38,125.39,124.04,44.23,28450340,43.35,44.53,43.3333,189.99,4569945,190.28,191.88,188.03,58.18,13418750,58.67,58.9323,57.91,116.77,7451292,117.04,117.36,115.82,145.07,1484931,145.76,145.96,143.69,53.18,19762120,53.55,53.55,52.855,242.4,3958382,239.85,243.03,237.9,162.73,6456044,163.3,163.5,161.48,78.87,10116910,80.71,80.86,77.7,44.345,113924680,44.105,44.8375,44.0,188.05,2815797,187.74,188.65,184.92,,,,,,,,,,,,,,,,,,,,,72.16,13645180.0,71.89,72.43,71.62,40.7801,25517870.0,40.7605,40.8974,40.35,76.7698,2797120.0,76.6038,76.9595,76.082,51.13,4209148.0,51.57,51.6,50.79
2019-05-30,25169.88,,25139.94,25218.54,25066.75,5,105.33,4729193,104.37,105.37,104.37,137.8411,2478748,138.545,139.2918,137.3433,76.8969,7140974,76.7811,77.032,76.424,125.4117,2741880,125.5762,125.7989,124.7922,116.74,1882652,117.21,117.31,116.105,199.24,2685006,196.01,199.42,195.775,49.25,9087412,48.72,49.31,48.67,349.87,2183884,350.0,351.92,347.9366,107.06,10367820,108.65,109.18,106.54,48.47,3777607,48.12,48.59,48.02,132.2,5273987,131.88,132.68,131.335,121.84,2878304,121.61,122.6778,121.2775,34.0633,15058931,34.1633,34.4967,33.97,132.11,7361016,131.44,132.82,131.17,125.73,16829610,125.26,125.76,124.78,44.73,21618860,44.3,45.03,44.23,191.08,3029849,190.13,192.5,190.09,56.83,17484860,57.62,57.62,56.56,115.38,5807929,116.54,116.74,114.8462,145.73,1068649,145.49,146.27,144.48,53.57,12954270,53.44,53.78,53.335,243.5,2646971,241.92,245.3529,241.34,162.76,4750610,162.8,163.5,161.94,79.26,6177832,78.92,79.73,78.61,44.575,84873640,44.4875,44.8075,44.1675,187.37,1919327,188.09,189.3698,186.01,,,,,,,,,,,,,,,,,,,,,71.97,9362146.0,72.02,72.13,71.53,40.956,16455660.0,40.741,41.0049,40.6433,76.1353,2748603.0,76.8113,77.2797,75.913,50.55,3844658.0,51.23,51.29,50.2
2019-05-31,24815.04,,25046.31,25046.31,24809.51,6,102.91,10282390,104.89,104.9,102.405,137.1287,3521955,137.1973,137.9785,137.0257,76.4433,6815619,76.5591,77.1285,76.0477,122.9145,3539343,124.318,124.318,122.779,114.71,2969059,115.77,115.98,114.56,198.27,3669172,197.41,200.03,197.25,49.13,11368640,49.0,49.31,48.78,341.61,3217646,345.85,345.85,341.36,105.96,10952860,105.56,106.589,104.84,46.76,3396850,47.96,48.0,46.75,132.04,7420899,130.96,132.93,130.78,119.81,4711664,119.79,120.7491,118.74,33.8133,17782454,33.7833,34.0067,33.5334,131.15,7810987,131.52,132.0,129.61,123.68,26646770,124.23,124.615,123.32,44.04,25532530,44.18,44.79,43.93,189.85,3681598,189.64,190.29,188.66,54.35,29916640,55.09,55.44,54.26,113.85,6899828,114.22,115.2,113.72,145.57,1405436,145.14,146.33,144.49,52.03,20480450,52.79,52.88,52.01,241.8,3285843,241.95,243.62,239.48,161.33,5079016,160.91,162.13,160.56,77.14,8891080,78.0,78.26,77.07,43.7675,108174320,44.0575,44.4975,43.7475,182.49,2640393,184.77,184.89,182.31,,,,,,,,,,,,,,,,,,,,,70.77,13983310.0,71.19,71.55,70.63,40.5846,21479470.0,40.7508,41.0342,40.5162,74.8901,3553857.0,75.4653,75.5483,74.4336,49.34,6568170.0,50.29,50.31,49.31
2019-06-03,24819.78,,24830.16,24935.21,24680.57,7,103.8,8533213,103.15,103.96,102.4,137.3776,3726881,137.1287,138.6309,136.7596,77.4567,8795855,76.868,78.0888,76.7425,124.1534,4267080,123.021,124.4341,122.9823,114.62,2968541,114.56,115.93,113.8944,198.78,3211789,198.36,199.1,197.32,49.98,14167450,49.16,49.98,49.02,338.89,5148019,338.2,339.11,330.67,106.46,11680750,105.8,106.86,105.3,47.96,5905198,46.85,47.96,46.85,132.47,7901387,132.02,132.95,131.49,120.65,4161778,119.91,121.69,119.76,33.9867,19844492,33.8767,34.2267,33.8,131.44,8434761,131.5,132.4,131.04,119.84,37983640,123.85,124.37,119.01,43.46,31155680,44.25,44.585,43.2,189.57,4620379,189.52,191.87,188.75,56.38,19518700,54.68,56.49,54.559,115.99,6100999,114.7,116.1,114.47,146.79,1628844,145.49,146.84,144.87,51.78,22380490,52.05,52.565,51.485,236.56,4999517,241.49,243.8,236.02,158.6,8034590,161.54,162.83,156.75,77.96,11665480,77.24,78.58,77.08,43.325,161584280,43.9,44.48,42.5675,183.19,2857821,181.7,183.49,180.73,,,,,,,,,,,,,,,,,,,,,71.88,11831260.0,71.09,72.01,70.9659,40.9756,21483020.0,40.6921,41.2395,40.6335,75.2222,2710993.0,74.9791,76.0227,74.6767,49.91,6024233.0,49.52,50.65,49.52
2019-06-04,25332.18,,24962.82,25343.77,24962.82,8,104.68,6906462,104.01,105.095,103.85,141.0258,3747008,138.8283,141.7125,138.6995,78.248,8939947,77.9295,78.4893,77.3167,128.4316,3913535,125.402,128.48,124.9423,116.85,3043212,115.71,117.0,115.23,199.63,3829903,199.0,200.3,198.79,50.0,12010730,50.0,50.28,49.615,344.62,3592323,342.57,346.41,340.12,109.74,12858590,107.85,109.9,107.13,49.93,7043092,48.68,49.93,48.64,134.82,8247513,133.45,134.88,132.92,122.08,4060408,121.81,122.77,120.75,34.1867,17895023,34.2033,34.2167,33.8133,133.73,6649100,132.6,134.3,132.58,123.16,29382640,121.28,123.28,120.6522,44.79,28094920,44.16,44.855,43.77,195.25,5118128,191.58,195.5,191.42,56.22,15201160,56.6,56.98,55.925,117.3,5235579,116.6,117.68,116.29,147.55,1513417,147.36,147.8,146.611,53.23,21689300,52.48,53.635,52.41,240.76,4992042,238.13,241.05,234.834,162.33,6684794,160.29,162.37,158.6501,81.62,7526860,79.3,81.65,78.78,44.91,123871840,43.86,44.9575,43.63,189.88,2421063,186.18,189.99,185.71,,,,,,,,,,,,,,,,,,,,,73.59,10423020.0,72.45,73.66,72.17,41.2786,17508280.0,41.523,41.7869,41.0929,76.7105,2395174.0,76.082,76.9002,75.6135,51.5,5978018.0,50.5,51.63,50.35
2019-06-05,25539.57,,25451.0,25544.66,25373.58,9,106.73,6481709,105.24,106.75,104.89,140.6481,3161679,141.7554,142.3477,139.8154,78.8367,9372442,78.5375,79.3965,78.248,127.2701,3161584,129.0994,129.322,126.2828,118.12,2568240,117.18,118.24,117.01,200.13,4294736,200.08,200.56,199.25,50.78,15837550,50.01,51.14,49.685,348.75,3188375,346.22,353.25,332.49,110.13,8340484,109.86,110.38,108.6376,50.34,6413509,50.49,50.57,49.0496,135.94,6842759,135.41,136.0,134.9399,123.12,3598662,123.4,123.64,121.96,34.8067,20708636,34.25,34.9267,34.2,134.38,6860551,134.7,135.13,133.86,125.83,24926140,124.95,125.87,124.21,44.55,20802010,45.11,45.18,44.19,196.69,3704587,194.01,196.72,193.08,57.03,11522940,56.52,57.38,56.5,117.65,5105963,117.87,118.03,116.27,149.85,1474936,148.08,149.86,147.9317,54.75,22521860,53.85,54.79,53.75,242.77,3194422,243.17,245.79,241.23,165.39,7769282,163.5,165.4,162.69,82.72,8173198,82.29,82.9,81.93,45.635,119093720,46.07,46.2475,45.285,188.44,1968185,190.1,190.16,187.01,,,,,,,,,,,,,,,,,,,,,72.98,10617830.0,73.64,73.64,72.585,41.523,20321550.0,41.6403,41.8749,41.4497,77.8905,2372997.0,77.3746,77.9142,76.8172,50.8,4507825.0,51.83,51.87,50.5
