3M,amex,boeing,coca-cola,dow,ibm,jpmorgan,mac,merck,PyG,date,Fecha
98.93,242.30,178.51,63.26,59.41,167.15,198.77,275.00,130.06,166.85,05/10/2024,2024-05-10
97.33,239.14,181.25,62.88,59.45,166.27,197.50,267.95,130.23,166.04,05/09/2024,2024-05-09
96.35,236.24,180.35,62.85,58.64,169.90,195.65,268.49,129.55,165.07,05/08/2024,2024-05-08
95.54,234.66,176.71,62.62,58.36,168.38,191.75,267.50,130.38,165.76,05/07/2024,2024-05-07
96.59,234.33,178.35,62.35,57.34,168.61,192.00,269.30,127.57,164.44,05/06/2024,2024-05-06
97.15,230.77,179.79,62.17,57.04,165.71,190.51,270.32,127.51,164.46,05/03/2024,2024-05-03
96.81,232.50,178.85,61.99,56.83,164.69,191.66,273.28,128.26,163.84,05/02/2024,2024-05-02
98.44,231.46,171.46,61.93,57.23,164.43,191.86,274.43,128.80,163.40,05/01/2024,2024-05-01
96.51,234.03,167.84,61.77,56.90,166.20,191.74,273.04,129.22,163.20,04/30/2024,2024-04-30
92.16,238.92,173.49,62.04,57.80,167.43,193.28,273.55,130.12,161.66,04/29/2024,2024-04-29
91.83,235.64,167.22,61.74,57.29,167.13,193.49,273.09,131.20,161.29,04/26/2024,2024-04-26
91.41,237.10,166.81,61.74,56.44,168.91,193.37,275.60,130.72,162.55,04/25/2024,2024-04-25
92.02,239.12,164.33,61.55,56.98,184.10,193.08,276.75,127.00,162.60,04/24/2024,2024-04-24
93.00,238.96,169.18,60.64,56.74,182.19,192.14,276.88,126.88,161.50,04/23/2024,2024-04-23
92.62,233.00,170.48,60.55,56.99,181.90,189.41,275.58,126.94,160.54,04/22/2024,2024-04-22
92.27,231.04,169.82,60.17,56.66,181.58,185.80,271.99,125.78,158.14,04/19/2024,2024-04-19
91.48,217.50,170.23,58.91,56.49,181.47,181.25,270.98,125.23,157.29,04/18/2024,2024-04-18
90.96,217.67,170.21,58.51,56.82,183.10,180.08,269.95,125.37,156.96,04/17/2024,2024-04-17
91.05,218.34,170.55,58.06,56.86,183.75,180.80,265.43,125.06,155.95,04/16/2024,2024-04-16
91.30,218.40,167.82,58.14,57.32,181.25,182.89,266.23,126.19,155.45,04/15/2024,2024-04-15
91.31,218.20,169.55,58.28,57.69,182.27,182.79,267.39,125.74,155.33,04/12/2024,2024-04-12
93.18,218.20,173.36,59.05,58.46,185.90,195.43,268.62,126.15,155.84,04/11/2024,2024-04-11
92.63,217.65,174.63,58.92,58.85,186.04,195.47,268.67,126.75,157.24,04/10/2024,2024-04-10
92.61,219.84,178.12,59.72,59.87,189.31,197.15,269.44,126.71,156.66,04/09/2024,2024-04-09
91.93,224.11,181.56,59.27,59.52,189.82,198.48,267.56,126.56,156.04,04/08/2024,2024-04-08
91.03,222.46,183.14,59.51,59.69,189.14,197.45,266.69,127.99,156.10,04/05/2024,2024-04-05
90.54,219.59,183.29,59.30,59.86,187.94,195.65,270.09,127.66,155.45,04/04/2024,2024-04-04
93.19,226.63,184.92,59.83,59.99,190.90,198.30,275.54,129.90,156.15,04/03/2024,2024-04-03
92.84,225.53,188.04,60.15,59.29,188.88,198.86,277.74,130.35,160.57,04/02/2024,2024-04-02
94.02,227.61,189.50,60.68,58.26,189.83,198.94,280.22,130.99,160.58,04/01/2024,2024-04-01
